Código de censo,Fecha,Censador,Acompañante 1,Acompañante 2,Piloto,Avioneta,Matrícula,Aeropuerto,Hora inicio,Hora fin,¿Track GPS?,Track,Foto,Visibilidad,Intensidad del viento,Dirección del viento,Condición atmosférica,Temperatura,¿Censo válido?,Observaciones
CA_20090121,2009-01-21,Censador 6,M***** *****,R**** *********,H*** *********,Cessna 172,-,-,10:30:00,12:30:00,,censos_aereos/tracks/CA_20090121.gpx,,,,,,,True,"Incidencias: 
La localidad 46 corresponde a Arroyo Partido (46H)"
CA_20090216,2009-02-16,Censador 5,J*** **** ******,-,H*** *********,Cessna 172,-,-,10:30:00,13:00:00,,censos_aereos/tracks/CA_20090216.gpx,,,,,,,True,"Incidencias: 
La localidad 46 corresponde a Arroyo Partido (46H)"
CA_20090310,2009-03-10,Censador 5,J*** **** ******,-,H*** *********,Cessna 172,-,-,09:30:00,11:45:00,,censos_aereos/tracks/CA_20090310.gpx,,,,,,,True,"Incidencias: 
La localidad 46 corresponde a Arroyo Partido (46H)"
CA_20090409,2009-04-09,Censador 5,D**** ********,I*** *******,H*** *********,Cessna 172,-,-,09:40:00,11:40:00,,,,,,,,,True,"Incidencias: 
La localidad 46 corresponde a Arroyo Partido (46H)"
CA_20090519,2009-05-19,Censador 5,M***** ***** ***,N***,H*** *********,Cessna 172,-,-,09:30:00,12:15:00,,,,,,,,,True,"Incidencias: 
La localidad 46 corresponde a Arroyo Partido (46H)"
CA_20090619,2009-06-19,Censador 5,J*** **** ******,A****** *******,H*** *********,Cessna 172,-,-,09:30:00,11:30:00,,censos_aereos/tracks/CA_20090619.gpx,,,,,,,True,"Incidencias: 
La localidad 46 corresponde a Arroyo Partido (46H)"
CA_20090713,2009-07-13,Censador 5,M* ** ******,J*** ***** *****,H*** *********,Cessna 172,-,-,09:30:00,12:00:00,,,,,,,,,True,"Incidencias: 
La localidad 46 corresponde a Arroyo Partido (46H)"
CA_20090813,2009-08-13,Censador 5,J* ** **** ** ****,-,H*** *********,Cessna 172,-,-,10:00:00,12:00:00,,,,,,,,,True,
CA_20090917,2009-09-17,Censador 5,J*** **** ******,J* ** ***** ** *****,H*** *********,Cessna 172,-,-,10:45:00,12:40:00,,censos_aereos/tracks/CA_20090917.gpx,,,,,,,True,
CA_20091027,2009-10-27,Censador 5,-,-,H*** *********,Cessna 172,-,-,10:15:00,12:15:00,,,,,,,,,True,"Incidencias: 
La localidad 46 corresponde a Arroyo Partido (46H)"
CA_20091127,2009-11-27,Censador 5,R**** *********,-,H*** *********,Cessna 172,-,-,10:30:00,13:30:00,,,,,,,,,True,"Incidencias: 
La localidad 46 corresponde a Arroyo Partido (46H)"
CA_20091217,2009-12-17,Censador 5,J*** **** ******,-,H*** *********,Cessna 172,-,-,12:10:00,14:30:00,,censos_aereos/tracks/CA_20091217.gpx,,,,,,,True,"Incidencias: 
La localidad 46 corresponde a Arroyo Partido (46H)"
CA_20100115,2010-01-15,Censador 5,J*** **** ******,J*** *****,H*** *********,Cessna 172,,-,09:40:00,12:40:00,,censos_aereos/tracks/CA_20100115.gpx,,,,,,,True,"Incidencias: 
Las localidades 08, 11, 12 < se censa un 25% / , 07A,  13, 14 no se censan por NIEBLA. La localidad 46 corresponde a Arroyo Partido (46H) "
CA_20100224,2010-02-24,Censador 5,J*** **** ******,U** *********,H*** *********,Cessna 172,,-,,,,censos_aereos/tracks/CA_20100224.gpx,,,,,,,True,"Incidencias: 
La localidad 46 corresponde a Arroyo Partido (46H)"
CA_20100316,2010-03-16,Censador 5,J*** **** ******,A** *******,H*** *********,Cessna 172,,-,09:10:00,12:00:00,,censos_aereos/tracks/CA_20100316.gpx,,,,,,,True,"Incidencias: 
La localidad 46 corresponde a Arroyo Partido (46H)"
CA_20100414,2010-04-14,Censador 5,J*** **** ******,C****** *******,H*** *********,Cessna 172,,-,10:15:00,12:30:00,,censos_aereos/tracks/CA_20100414.gpx,,,,,,,True,"Incidencias: 
La localidad 46 corresponde a Arroyo Partido (46H)"
CA_20100518,2010-05-18,Censador 5,E**** ******,M****** ******,H*** *********,Cessna 172,,-,09:30:00,13:00:00,,,,,,,,,True,"Incidencias: 
La localidad 46 corresponde a Arroyo Partido (46H)"
CA_20100617,2010-06-17,Censador 5,M******** ****,M**** ******,H*** *********,Cessna 172,,-,09:15:00,11:30:00,,,,,,,,,True,"Incidencias: 
La localidad 46 corresponde a Arroyo Partido (46H)"
